Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Deng, Yuanfu; Zhang, Qiumei; Tang, Shidi; Zhang, Leiting; Deng, Shengnan; Shi, Zhicong; Chen, Guohua; ",One-pot synthesis of ZnFe2O4/C hollow spheres as superior anode materials for lithium ion batteries,Chemical communications,47,24,6828–6830,2011,Royal Society of Chemistry
"Deng, Yuanfu; Tang, Shidi; Zhang, Qiumei; Shi, Zhicong; Zhang, Leiting; Zhan, Shuzhong; Chen, Guohua; ",Controllable synthesis of spinel nano-ZnMn2O4 via a single source precursor route and its high capacity retention as anode material for lithium ion batteries,Journal of Materials Chemistry,21,32,11987–11995,2011,Royal Society of Chemistry
"Zhang, Leiting; Tarascon, Jean-Marie; Sougrati, Moulay Tahar; Rousse, Gwenaëlle; Chen, Guohua; ",Influence of relative humidity on the structure and electrochemical performance of sustainable LiFeSO4F electrodes for Li-ion batteries,Journal of Materials Chemistry A,3,33,16988–16997,2015,Royal Society of Chemistry
"Zhang, Leiting; Chen, Guohua; Berg, Erik J; Tarascon, Jean‐Marie; ",Triggering the In Situ Electrochemical Formation of High Capacity Cathode Material from MnO,Advanced Energy Materials,7,8,1602200,2017,
"Zhang, Leiting; Batuk, Dmitry; Chen, Guohua; Tarascon, Jean-Marie; ",Electrochemically activated MnO as a cathode material for sodium-ion batteries,Electrochemistry Communications,77,,81–84,2017,Elsevier
"Zhang, Leiting; Dambournet, Damien; Iadecola, Antonella; Batuk, Dmitry; Borkiewicz, Olaf J; Wiaderek, Kamila M; Salager, Elodie; Shao, Minhua; Chen, Guohua; Tarascon, Jean-Marie; ",Origin of the High Capacity Manganese-Based Oxyfluoride Electrodes for Rechargeable Batteries,Chemistry of Materials,30,15,5362–5372,2018,American Chemical Society
"Yang, Chunzhen; Laberty-Robert, Christel; Batuk, Dmitry; Cibin, Giannantonio; Chadwick, Alan V; Pimenta, Vanessa; Yin, Wei; Zhang, Leiting; Tarascon, Jean-Marie; Grimaud, Alexis; ",Phosphate ion functionalization of perovskite surfaces for enhanced oxygen evolution reaction,The journal of physical chemistry letters,8,15,3466–3472,2017,American Chemical Society
"Yang, Chunzhen; Batuk, Maria; Jacquet, Quentin; Rousse, Gwenaëlle; Yin, Wei; Zhang, Leiting; Hadermann, Joke; Abakumov, Artem M; Cibin, Giannantonio; Chadwick, Alan; ",Revealing pH-dependent activities and surface instabilities for Ni-based electrocatalysts during the oxygen evolution reaction,ACS Energy Letters,3,12,2884–2890,2018,American Chemical Society
"Lemoine, Kévin; Zhang, Leiting; Dambournet, Damien; Grenèche, Jean-Marc; Hémon-Ribaud, Annie; Leblanc, Marc; Borkiewicz, Olaf J; Tarascon, Jean-Marie; Maisonneuve, Vincent; Lhoste, Jerome; ",Synthesis by Thermal Decomposition of Two Iron Hydroxyfluorides: Structural Effects of Li insertion,Chemistry of Materials,31,11,4246–4257,2019,American Chemical Society
"Lemoine, Kévin; Zhang, Leiting; Grenèche, Jean-Marc; Hémon-Ribaud, Annie; Leblanc, Marc; Guiet, Amandine; Galven, Cyrille; Tarascon, Jean-Marie; Maisonneuve, Vincent; Lhoste, Jérôme; ",New amorphous iron-based oxyfluorides as cathode materials for high-capacity lithium-ion batteries,The Journal of Physical Chemistry C,123,35,21386–21394,2019,American Chemical Society
"Yang, Yuebin; Wang, Shanxing; Zhang, Leiting; Deng, Yuanfu; Xu, Hui; Qin, Xusong; Chen, Guohua; ",CoS-interposed and Ketjen black-embedded carbon nanofiber framework as a separator modulation for high performance Li-S batteries,Chemical Engineering Journal,369,,77–86,2019,Elsevier
"Yang, Yuebin; Zhang, Leiting; Xu, Hui; Qin, Xusong; Deng, Yuanfu; Chen, Guohua; ",Net-structured filter of Co(OH)2-anchored carbon nanofibers with Ketjen black for high performance Li–S batteries,ACS Sustainable Chemistry & Engineering,6,12,17099–17107,2018,American Chemical Society
"Ting, Michelle; Burigana, Matthew; Zhang, Leiting; Y., Finfrock; Zou; Trabesinger, Sigita; Jonderian, Antranik; McCalla, Eric; ",Impact of Nickel Substitution into Model Li-Rich Oxide Cathode Materials for Li-Ion Batteries,Chemistry of Materials,32,2,849–857,2020,
"Yin, Wei; Grimaud, Alexis; Rousse, Gwenaëlle; Abakumov, Artem M; Senyshyn, Anatoliy; Zhang, Leiting; Trabesinger, Sigita; Iadecola, Antonella; Foix, Dominique; Giaume, Domitille; ",Structural evolution at the oxidative and reductive limits in the first electrochemical cycle of Li1.2Ni0.13Mn0.54Co0.13O2,Nature communications,11,,1252,2020,Nature Publishing Group
"Wang, Qing; Mariyappan, Sathiya; Rousse, Gwenaëlle; Morozov, Anatolii V; Porcheron, Benjamin; Dedryvère, Rémi; Wu, Jinpeng; Yang, Wanli; Zhang, Leiting; Chakir, Mohamed; ",Unlocking anionic redox activity in O3-type sodium 3d layered oxides via Li substitution,Nature Materials,20,,353–361,2021,Nature Publishing Group
